job name,company name,workarea,salary,update time
Python数据分析实习生,嬴彻科技（上海）有限公司,上海-杨浦区,150元/天,2021-04-19 15:13:58
大数据行业应用研究(实习生),天睿信科技术（北京）有限公司,异地招聘,150元/天,2021-04-19 14:00:12
数据分析（2021届管培生）,上海晨光文具股份有限公司,上海-松江区,6-8千/月,2021-04-19 13:43:04
数据处理工程师,派鼎（上海）商务咨询有限公司,上海-徐汇区,6-8千/月,2021-04-19 13:41:57
EPM 技术顾问,上海麦坚时教育科技有限公司,上海-闵行区,1-1.5万/月,2021-04-19 09:45:28
数据建模与分析专员,上海东正汽车金融股份有限公司,上海,0.8-1万/月,2021-04-19 09:30:11
市场部实习生,无锡启益医疗科技有限公司,上海-徐汇区,100元/天,2021-04-19 09:26:03
数据分析师,上海广墨网络科技有限公司,上海-徐汇区,0.8-1.5万/月,2021-04-19 04:02:03
脑电算法工程师,上海心仪科技,上海-闵行区,15-35万/年,2021-04-18 17:00:01
K-校招职位 (MJ000499),北京希瑞亚斯科技有限公司,北京-海淀区,2-3千/月,2021-04-18 17:00:01
软件工程师实习生岗,上海机动车检测中心技术有限公司,上海,3-4.5千/月,2021-04-18 10:00:01
数据分析员,缆信网络有限公司,上海,5-7千/月,2021-04-16 18:17:56
数据分析/media analyst,杭州锐致商务咨询有限公司,上海-黄浦区,0.8-1万/月,2021-04-16 16:45:16
数据统计分析,上海中安电子信息科技有限公司,上海-徐汇区,3-4.5千/月,2021-04-16 14:40:37
软件设计,航天物联网技术有限公司,北京-海淀区,1.5-2万/月,2021-04-16 10:00:01
CRM数据分析师,数云信息技术（上海）有限公司,上海,3-4千/月,2021-04-16 09:51:54
数据分析助理,上海弘升光学眼镜有限公司,上海-松江区,7-8千/月,2021-04-16 04:02:36
安全威胁分析师 （实习）,上海犇众信息技术有限公司,上海-闵行区,200元/天,2021-04-15 17:10:33
数据专员实习生(J13389),北京北大方正电子有限公司,北京-海淀区,2-4千/月,2021-04-15 09:00:06
技术支持/材料计算,北京迈高材云科技有限公司,北京-海淀区,0.8-1万/月,2021-04-14 10:35:43
数据分析师,迈微（浙江）控股有限公司,上海-静安区,0.8-1.5万/月,2021-04-14 10:12:58
商品专员,浅藤（北京）网络科技有限公司,北京-大兴区,4.5-6千/月,2021-04-13 14:04:40
高性能计算暑期实习生,NIO蔚来,北京,200元/天,2021-04-13 11:18:43
AI工程师,上海城市地理信息系统发展有限公司,上海-徐汇区,1-1.5万/月,2021-04-13 10:22:36
数据主管,易居企业（中国）集团有限公司,上海-静安区,7-8千/月,2021-04-13 10:22:28
数据分析与挖掘,易居企业（中国）集团有限公司,上海-静安区,7-9千/月,2021-04-13 10:22:11
教育数据分析师,北京伟思和宜教育科技有限公司,北京-石景山区,0.8-1.2万/月,2021-04-13 09:27:00
数据分析工程师/软件工程师,上海兰宝烟草机械制造有限公司,上海-黄浦区,0.7-1.2万/月,2021-04-12 11:05:21
实习生,吉贝克信息技术有限公司,北京-海淀区,200元/天,2021-04-10 09:00:01
数据分析工程师,上海机动车检测中心技术有限公司,上海,1.5-2万/月,2021-04-10 04:01:50
数据分析师（校招）,优刻得科技股份有限公司,上海,1-1.5万/月,2021-04-09 16:46:11
生信工程师,上海融享生物科技有限公司,上海-闵行区,0.7-1.5万/月,2021-04-08 09:26:21
数据分析专员,亿翰智库,上海-静安区,6-8千/月,2021-04-07 09:09:23
深度学习开发实习生,中国太平洋保险（集团）股份有限公司,上海-徐汇区,100元/天,2021-04-06 19:20:11
2021校招-商业分析,北京掌上先机网络科技有限公司,北京-海淀区,0.8-1万/月,2021-04-06 14:39:34
系统仿真工程师,沅航信息技术（上海）有限公司,上海-杨浦区,0.8-1万/月,2021-04-04 20:00:01
数据分析（市场）-2021届G00614,杭州游卡网络技术有限公司,异地招聘,0.8-1万/月,2021-04-04 04:02:14
Modelling Analyst,益普索（中国）咨询有限公司,北京-朝阳区,7-9千/月,2021-04-02 15:51:35
实习生（医学图像处理）,深圳市嘉骏实业有限公司,北京-海淀区,0.8-1万/月,2021-04-02 14:42:07
营销助理,上海协进教育投资有限公司,上海-徐汇区,4.5-6千/月,2021-04-02 04:01:43
数据分析师（实习生）,上海博弋信息科技有限公司,上海-徐汇区,200元/天,2021-04-01 23:00:01
Python数据分析师实习生,上海链牍科技有限公司,上海-静安区,300元/天,2021-04-01 13:57:50
数据实习生（教育）市场部,上海培羽教育科技有限公司,上海-杨浦区,120元/天,2021-04-01 08:00:01
BI岗（校招岗位）,卓望信息技术（北京）有限公司,北京-丰台区,10-20万/年,2021-03-31 11:00:45
算法实习生,安徽酷哇机器人有限公司,上海-徐汇区,300元/天,2021-03-30 15:50:42
IT实习生,新城发展投资有限公司,上海-普陀区,100元/天,2021-03-30 11:15:32
数据分析,上海美特斯邦威服饰股份有限公司,上海-浦东新区,0.7-1.5万/月,2021-03-29 20:54:03
定价专员（第三方合同）,3M中国有限公司,上海-长宁区,1-1.5万/月,2021-03-29 14:49:48
通信工程设计工程师,天池创新（北京）软件技术有限公司,北京-海淀区,1-1.5万/月,2021-03-29 14:44:13
数据挖掘/数据整理,上海蓝矩信息科技有限公司,上海-杨浦区,200元/天,2021-03-28 15:02:03
数据分析实习,苏宁文创集团,上海-普陀区,1.7-2.1千/月,2021-03-27 18:00:01
数据分析（实习生）,埃摩森网络科技（上海）有限公司,上海-徐汇区,4-4.5千/月,2021-03-27 04:02:41
助理研究员,上海融昌资产管理有限公司,上海-浦东新区,150元/天,2021-03-26 13:35:00
生物信息工程师,上海鹿明生物科技有限公司,上海-闵行区,6-8千/月,2021-03-26 04:01:53
Quantitative Researcher Analyst,启行商务信息咨询（杭州）有限公司,异地招聘,20-30万/年,2021-03-25 16:02:46
Quantitative Researcher Analyst,启行商务信息咨询（杭州）有限公司,异地招聘,20-30万/年,2021-03-25 16:02:43
数据研究分析员（实习生）,上海易路软件有限公司,上海-闵行区,3-4.5千/月,2021-03-24 09:52:12
